epoch;AUPRC;AUROC;loss;val_AUPRC;val_AUROC;val_loss
0;0.2657473385334015;0.8609243035316467;0.02687131054699421;0.3433477282524109;0.903567910194397;0.024722445756196976
2;0.35317423939704895;0.9078195095062256;0.02226790226995945;0.3717666566371918;0.9183298349380493;0.0246016476303339
4;0.3778717815876007;0.9205809831619263;0.021157782524824142;0.38799425959587097;0.9211043119430542;0.02215772494673729
6;0.40381255745887756;0.9301189184188843;0.02020930126309395;0.4173371493816376;0.9309459924697876;0.021437259390950203
8;0.43137848377227783;0.9389259219169617;0.019183771684765816;0.43607044219970703;0.9387823939323425;0.02023070678114891
10;0.4491773545742035;0.9449189305305481;0.018423739820718765;0.4535880386829376;0.941848874092102;0.01986297406256199
12;0.46887925267219543;0.9503758549690247;0.017789967358112335;0.44745808839797974;0.9382871985435486;0.023522386327385902
14;0.48178544640541077;0.9537168741226196;0.017320020124316216;0.4656481444835663;0.9476061463356018;0.019861115142703056
16;0.4951687157154083;0.9573296904563904;0.016900958493351936;0.45696887373924255;0.946316659450531;0.02117450349032879
18;0.5069907307624817;0.9605840444564819;0.01654585264623165;0.46642330288887024;0.9452665448188782;0.020769277587532997
