cycles,st_petersburg,ptb_diag,chapman,ningbo,georgia,china,ptbxl
1,0.582392776523702,0.7996741288888134,0.9856267573870322,0.9873081739476114,0.9567141288314899,0.979890900873619,0.76726449769161
2,0.6826830054821026,0.9072964578489111,0.9918914054514008,0.9882834364326581,0.9613034728491601,0.9817063098777667,0.764946300353072
3,0.5356336665591744,0.960691797213123,0.9917345574927148,0.9891500073471235,0.9636048053567939,0.9807348791432662,0.7922477307471876
4,0.582392776523702,0.904020774283338,0.9932802740302651,0.9893354224606431,0.9612161731273215,0.9817506676026869,0.794001306008563
5,0.6868752015478877,0.8812437414076952,0.9936873847593386,0.9888956783748046,0.9636838689488068,0.9826575806170393,0.7855688084536635
6,0.509835536923573,0.8702965087662724,0.9926946594962839,0.9900529446244171,0.9609356023273474,0.9822332170190509,0.8073329185982856
7,0.565623992260561,0.8294777575994162,0.9936691202674565,0.9899514611419767,0.9630282762689854,0.9824595538303417,0.8234033101609379
8,0.5030635278942276,0.9156808499804817,0.9937119757108587,0.9899775722522601,0.9640792411474596,0.9824444868865397,0.7674356864747054
9,0.511125443405353,0.8491318589928545,0.9933626109989985,0.9894660432425839,0.9616526419052897,0.976638712238006,0.7533096567851532
10,0.54692034827475,0.9331285323919278,0.9932680482995814,0.989726396011765,0.9621520084636499,0.978201757102742,0.7250244516338344
